Genre,Song,Artist,BPM,BEGINNER,SPN,SPH,SPA,SPKA,DPN,DPH,DPA,DPKA,Disc,Style,Origin,Unlockable,RemyWiki Link
RAVE,LAB,RAM,180,3,5,9,10,11,5,10,11,,Premium Best,8,8,,https://remywiki.com/LAB
CUDDLECORE,murmur twins,yu_tokiwa.djw,174,2,5,9,11,,5,10,12,,Premium Best,8,8,,https://remywiki.com/Murmur_twins
TECHNO,MUSIC TO YOUR HEAD,SLAKE,144,2,4,7,9,,8,8,9,,Premium Best,8,8,,https://remywiki.com/MUSIC_TO_YOUR_HEAD
DISCO,PLEASE DON'T GO,ASLETICS,135,3,5,7,12,,4,9,10,,Premium Best,8,8,,https://remywiki.com/PLEASE_DON%27T_GO
TRANCE,rainbow flyer,dj TAKA,148,3,4,9,11,,4,10,11,,Premium Best,8,8,,https://remywiki.com/Rainbow_flyer
POPS,World Wide Love,MTO,122,2,3,5,5,,4,5,,,Premium Best,8,8,,https://remywiki.com/World_Wide_Love
NU-NRG,合体せよ！ストロングイェーガー！！,L.E.D.,155,3,6,7,10,,8,10,9,,Premium Best,8,6CS,,https://remywiki.com/Gattai_seyo!_Strong_Jaeger!!
SPIRITUAL,桜,Reven-G,13-320,3,7,10,12,,8,10,12,,Premium Best,8,8,,https://remywiki.com/Sakura
TRANCE CORE,Abyss -The Heavens Remix-,dj TAKA Remixed by Ryu☆,171,3,7,10,10,11,6,9,10,11,Premium Best,9,9,,https://remywiki.com/Abyss_-The_Heavens_Remix-
GOSPEL,Make A Difference,Lala Moore with CoCoRo*Co,130,2,5,9,10,,5,9,10,,Premium Best,9,9,,https://remywiki.com/Make_A_Difference
HAPPY HANDBAG,Silvia Drive,dj TAKA feat. Noria,129,2,4,8,9,10,7,10,11,,Premium Best,9,9,,https://remywiki.com/Silvia_Drive
TRANCE,STAR FIELD,SADA,140,2,3,8,9,,5,8,,,Premium Best,9,9,,https://remywiki.com/STAR_FIELD
EUROBEAT,Daisuke,Y&Co.,157,3,6,8,10,,5,8,11,,Premium Best,10,10,,https://remywiki.com/Daisuke
TRANCE,HI SCHOOL DREAM,PINK PONG,145,2,5,7,10,,5,10,10,,Premium Best,10,10,,https://remywiki.com/HI_SCHOOL_DREAM
TECHNO,Innocent Walls,TaQ,155,3,8,12,12,,8,10,12,,Premium Best,10,10,,https://remywiki.com/Innocent_Walls
TRANCE,Love Is Eternity,kors k,140,3,6,9,11,,6,10,12,,Premium Best,10,10,,https://remywiki.com/Love_Is_Eternity
PROGRESSIVE BAROQUE,No.13,TAKA respect for J.S.B.,172,3,8,10,11,,6,10,12,,Premium Best,10,10,,https://remywiki.com/No.13
HAPPY HARDCORE,rainbow rainbow,Ryu☆,177,3,7,10,11,,7,9,11,,Premium Best,10,10,,https://remywiki.com/Rainbow_rainbow
戦艦テクノ,SPACE FIGHT,AKIRA YAMAOKA,139,2,3,8,11,,6,8,11,,Premium Best,10,10,,https://remywiki.com/SPACE_FIGHT
HARD HOUSE,雪月花,Ryu☆,151,3,6,10,12,,8,10,12,,Premium Best,10,10,,https://remywiki.com/Setsugekka
PSYCHEDELIC GOA TRANCE,ANDROMEDA,Sota Fujimori,150,3,5,8,11,,4,9,11,,Premium Best,11,11,,https://remywiki.com/ANDROMEDA
SPEED RAVE,RED ZONE,Tatsh&NAOKI,165,2,5,9,11,,5,9,11,,Premium Best,11,11,,https://remywiki.com/RED_ZONE
CYBORG TRANCE,The Hope of Tomorrow,Sota Fujimori,144,2,5,8,10,10,6,9,10,,Premium Best,11,11,,https://remywiki.com/The_Hope_of_Tomorrow
NATURAL SOUND,Wonder Bullfighter,Twin AmadeuS,126,2,5,7,11,,5,8,10,,Premium Best,11,11,,https://remywiki.com/Wonder_Bullfighter
TRANCE CORE,Aurora,Ryu☆,181,2,7,10,11,,7,10,11,,Premium Best,12,12,,https://remywiki.com/Aurora
HYPER J-POP SIX,EDEN,TЁЯRA,200,,6,9,10,11,7,8,10,,Premium Best,12,12,,https://remywiki.com/EDEN
BREAKCORE,SCREAM SQUAD,CALF,220,3,7,10,12,,6,10,12,,Premium Best,12,12,,https://remywiki.com/SCREAM_SQUAD
TECHNO,Scripted Connection⇒ N mix,DJ MURASAME,151,3,6,8,10,11,6,9,10,,Premium Best,12,12,,https://remywiki.com/Scripted_Connection
TECHNO,Scripted Connection⇒ H mix,DJ MURASAME,151,3,7,10,11,11,7,10,11,,Premium Best,12,12,,https://remywiki.com/Scripted_Connection
TECHNO,Scripted Connection⇒ A mix,DJ MURASAME,151,3,7,10,12,12,8,10,11,,Premium Best,12,12,,https://remywiki.com/Scripted_Connection
MAKINA,SigSig,kors k,179,2,5,7,10,,5,7,11,,Premium Best,12,12,,https://remywiki.com/SigSig
MEDIEVAL CHOIR,Xepher,Tatsh,170,2,5,10,11,,5,10,11,,Premium Best,12,12,,https://remywiki.com/Xepher
HYPER J-POP SEVEN,ALFARSHEAR 双神威に廻る夢,TЁЯRA,170,2,5,7,10,,6,9,10,,Premium Best,13,13,,https://remywiki.com/ALFARSHEAR_Futatsukamui_ni_mawaru_yume
ORATORIO,Apocalypse ～dirge of swans～,Zektbach,170,2,5,9,10,,5,8,11,,Premium Best,13,13,,https://remywiki.com/Apocalypse_~dirge_of_swans~
SUBLIME TECHNO,CONTRACT,朱雀,180,3,8,10,11,,7,10,12,,Premium Best,13,13,,https://remywiki.com/CONTRACT
ESOTERIC SLOWCORE,Ganymede,玄武,72-82,2,6,8,11,,8,11,12,,Premium Best,13,13,,https://remywiki.com/Ganymede
SADISTIC HARDCORE,The Dirty of Loudness,Tatsh Assault X,165,3,7,10,11,,7,10,10,,Premium Best,13,13,,https://remywiki.com/The_Dirty_of_Loudness
DANCE SPEED,waxing and wanding,青龍,191,3,7,10,11,,7,10,11,,Premium Best,13,13,,https://remywiki.com/Waxing_and_wanding
CYBER OPUS,Zenius -I- vanisher,Tatsh,160,1,5,7,10,,5,8,11,,Premium Best,13,13,,https://remywiki.com/Zenius_-I-_vanisher
ASIAN MIXTURE,華蝶風雪,白虎,199,3,6,10,11,,7,10,12,,Premium Best,13,13,,https://remywiki.com/Kachoufusetsu
EPIC POETRY,"Blind Justice ～Torn souls, Hurt Faiths～",Zektbach,137-165,2,6,8,11,,7,8,10,,Premium Best,14,14,,"https://remywiki.com/Blind_Justice_~Torn_souls,_Hurt_Faiths~"
